outcome	exposure	method	nsnp	b	se	pval	OR	UCI	LCI	study	FDR
AVS (Chen)	OBP2B  (Fenland)	Wald ratio	1	0.0102761448654583	0.0508344296827056	0.8398	1.01032912576639	1.11617942602439	0.914516894481427	Fenland	0.988652639769336
AVS (Chen)	FCN1  (Fenland)	Wald ratio	1	0.0956840413326425	0.0351179411524715	0.00643700000000002	1.10041132456557	1.17882149456493	1.0272166641134	Fenland	0.395339083333335
AVS (Chen)	T106B  (Fenland)	Wald ratio	1	-0.0198658294176147	0.0700755422662958	0.7768	0.980330195956644	1.12466164837995	0.854521263785212	Fenland	0.987182264760148
AVS (Chen)	HBAZ  (Fenland)	Wald ratio	1	-0.00648010844523853	0.0296503564682425	0.827	0.99354084217896	1.05299089904528	0.937447233373691	Fenland	0.987182264760148
AVS (Chen)	NIT2  (Fenland)	Wald ratio	1	0.174856828422084	0.113343589753197	0.1229	1.1910756762204	1.48737119685417	0.953804450082391	Fenland	0.729680743582208
AVS (Chen)	TKN1  (Fenland)	Wald ratio	1	0.0211719066026892	0.0629691612181549	0.7367	1.0213976215414	1.15556738131644	0.902805944645078	Fenland	0.982375637393768
AVS (Chen)	ARRB1  (Fenland)	Wald ratio	1	-0.237676585574183	0.141864415225858	0.09386	0.788457648440758	1.04120392963181	0.597064077163601	Fenland	0.706492352112677
AVS (Chen)	LIRB3  (Fenland)	Inverse variance weighted	3	-0.0196066332897858	0.0245327632353171	0.424173296073968	0.980584326680857	1.0288869456587	0.934549345571258	Fenland	0.908921474367281
AVS (Chen)	NAGPA  (Fenland)	Wald ratio	1	-0.0182223595699992	0.0655135619634053	0.7809	0.981942663732552	1.11648373224481	0.863614369839077	Fenland	0.987182264760148
AVS (Chen)	IL27B  (Fenland)	Wald ratio	1	-0.0165590540927532	0.0156138272479077	0.2889	0.983577293410867	1.01414312823465	0.95393269961556	Fenland	0.850679954699887
AVS (Chen)	LAG-1  (Fenland)	Inverse variance weighted	2	0.0074996039832012	0.131826467896604	0.954632843070771	1.00752779644652	1.30457782287652	0.778115527346707	Fenland	0.99753443345862
AVS (Chen)	NMRL1  (Fenland)	Wald ratio	1	0.0063628758486997	0.0250896158644748	0.7998	1.00638316194638	1.05710973926635	0.958090755414002	Fenland	0.987182264760148
AVS (Chen)	MYZAP  (Fenland)	Wald ratio	1	0.112993900600445	0.0588709070141168	0.0549400000000001	1.1196251038869	1.25656383225684	0.997609783979138	Fenland	0.675631666968659
AVS (Chen)	Apo A-IV  (Fenland)	Wald ratio	1	0.0101619630880178	0.102206243192315	0.9208	1.01021377117684	1.23427801975318	0.826824951220796	Fenland	0.996209566486036
AVS (Chen)	MMP-8  (Fenland)	Wald ratio	1	-0.0564489988793054	0.0488022840158228	0.2474	0.945114685174121	1.03998207537843	0.858901118855093	Fenland	0.835855646687697
AVS (Chen)	MANS1  (Fenland)	Wald ratio	1	0.0124118124477185	0.0413587629944905	0.7641	1.01248915866282	1.09798314015232	0.933652129000382	Fenland	0.987182264760148
AVS (Chen)	OLFL3  (Fenland)	Wald ratio	1	-0.0266382580636372	0.0954576430754389	0.7802	0.973713410797983	1.1740493101606	0.807562168098503	Fenland	0.987182264760148
AVS (Chen)	CPNE1  (Fenland)	Wald ratio	1	-0.00702544450823405	0.0185047119608577	0.7042	0.992999176236071	1.02967558945349	0.957629154371693	Fenland	0.977502008569898
AVS (Chen)	TM149  (Fenland)	Wald ratio	1	-0.00199547516719166	0.0334993210828008	0.9525	0.998006514469736	1.0657333930714	0.934583648592969	Fenland	0.99753443345862
AVS (Chen)	STALP  (Fenland)	Wald ratio	1	0.0618624279033813	0.0543926400447712	0.2554	1.0638159832654	1.18349509134834	0.956239239625069	Fenland	0.835855646687697
AVS (Chen)	PAI-1  (Fenland)	Wald ratio	1	0.0174914752099826	0.136451472498041	0.898	1.01764534690089	1.3296774064955	0.778837067554956	Fenland	0.993843393393393
AVS (Chen)	NFU1  (Fenland)	Wald ratio	1	-0.0517039877184849	0.0529573866600112	0.3289	0.949609921442426	1.05347317388379	0.855986678405315	Fenland	0.875682375929529
AVS (Chen)	LRP12  (Fenland)	Wald ratio	1	-0.119976168376083	0.136691945260908	0.3801	0.886941573723314	1.15944337908054	0.678485357191508	Fenland	0.887631310894597
AVS (Chen)	MSP  (Fenland)	Wald ratio	1	0.00603155963384329	0.0282955574825683	0.8312	1.00604978611593	1.0634207686298	0.951773937467887	Fenland	0.987827873761806
AVS (Chen)	C4  (Fenland)	Wald ratio	1	-0.0469310125621357	0.033233266920486	0.1579	0.95415321990586	1.01837293367171	0.893983271702117	Fenland	0.767264944898575
AVS (Chen)	ARH  (Fenland)	Wald ratio	1	0.106968188081714	0.11294571530119	0.3436	1.1128988504689	1.38866352259194	0.891896295413065	Fenland	0.88123645157045
AVS (Chen)	NADK  (Fenland)	Wald ratio	1	-0.0206287568132512	0.0703669326930647	0.7694	0.979582560425457	1.12444595653319	0.853382047500268	Fenland	0.987182264760148
AVS (Chen)	PSP-94  (Fenland)	Wald ratio	1	0.0160065860093456	0.0168730624757183	0.3428	1.01613537766115	1.05030204894316	0.983080159439398	Fenland	0.88123645157045
AVS (Chen)	GMPR2  (Fenland)	Wald ratio	1	-0.0636569561084884	0.0443291026261187	0.151	0.938326831614135	1.02349995795411	0.860241601462285	Fenland	0.757151787439614
AVS (Chen)	ApoM  (Fenland)	Wald ratio	1	-0.0815120343670857	0.0481412065889258	0.09042	0.921721617450847	1.01292757843822	0.83872801783728	Fenland	0.704423967448117
AVS (Chen)	HEXI1  (Fenland)	Wald ratio	1	0.119499408244662	0.102592220690572	0.2441	1.12693257719864	1.37792695168508	0.921657735193073	Fenland	0.835819457313038
AVS (Chen)	ASPN  (Fenland)	Wald ratio	1	-0.0865800313238463	0.033099422042804	0.008903	0.917062152149644	0.97852869789432	0.859456644158805	Fenland	0.441640163461538
AVS (Chen)	Gastric intrinsic factor  (Fenland)	Wald ratio	1	-0.0151093804453592	0.106328243374387	0.887	0.985004193513145	1.21323940505583	0.799704705596698	Fenland	0.992286144578313
AVS (Chen)	FA20B  (Fenland)	Wald ratio	1	0.201472831992182	0.130491655705093	0.1226	1.22320300462259	1.57970240364373	0.947156620808166	Fenland	0.729680743582208
AVS (Chen)	ERBB3  (Fenland)	Wald ratio	1	0.216683178840866	0.115316329974626	0.06024	1.24195056358324	1.5569101523875	0.99070662492593	Fenland	0.676783575883576
AVS (Chen)	Factor D  (Fenland)	Wald ratio	1	0.02864022022156	0.130662334956392	0.8265	1.02905429493975	1.3294142035327	0.796555910956831	Fenland	0.987182264760148
AVS (Chen)	Thrombin  (Fenland)	Wald ratio	1	-0.0417780689980843	0.120079405250399	0.7279	0.959082607119125	1.21358351486145	0.75795314950651	Fenland	0.979967667014614
AVS (Chen)	Arylsulfatase A  (Fenland)	Wald ratio	1	0.0680512744913824	0.0591820339178221	0.2502	1.07042019232262	1.20207359453136	0.953185722858089	Fenland	0.835855646687697
AVS (Chen)	sTREM-1  (Fenland)	Wald ratio	1	-0.00298936092672523	0.0594553707595812	0.9599	0.997015102763682	1.12024024387254	0.887344585749387	Fenland	0.99753443345862
AVS (Chen)	ASAHL  (Fenland)	Wald ratio	1	0.0104881927570438	0.0227029959354461	0.6441	1.0105433866433	1.05652589166329	0.966562148970001	Fenland	0.977502008569898
AVS (Chen)	NKp46  (Fenland)	Wald ratio	1	0.0338862697327047	0.0560969988621585	0.5458	1.03446694983496	1.15469517050837	0.926757033052893	Fenland	0.946089827077148
AVS (Chen)	CPN2  (Fenland)	Inverse variance weighted	2	-0.0281457977413486	0.0517748221736493	0.586703407305373	0.972246605108172	1.07608865742213	0.878425262290967	Fenland	0.964245561192137
AVS (Chen)	Arginase  (Fenland)	Wald ratio	1	0.198351557730114	0.112685469537371	0.07837	1.21939100481025	1.52076740326555	0.977739540852392	Fenland	0.695008139534885
AVS (Chen)	LIMA1  (Fenland)	Wald ratio	1	-0.190845615568277	0.0791194075886667	0.01586	0.8262601400071	0.964860664975622	0.707569334875727	Fenland	0.575561904761905
AVS (Chen)	Tenascin-X  (Fenland)	Wald ratio	1	0.014446733800068	0.0239635536673602	0.5466	1.01455159220413	1.06334042670421	0.968001316788334	Fenland	0.946089827077148
AVS (Chen)	AP4AT  (Fenland)	Wald ratio	1	-0.18572559723463	0.119261517607977	0.1194	0.830501455613774	1.04919895947365	0.657389774883704	Fenland	0.729680743582208
AVS (Chen)	B4GT7  (Fenland)	Wald ratio	1	-0.0847259656681092	0.128174742195649	0.5086	0.918764022792552	1.18115943610063	0.714659938174545	Fenland	0.939058545572209
AVS (Chen)	UST  (Fenland)	Inverse variance weighted	2	0.00384707643262469	0.0791878132330203	0.961252675699903	1.00385448592975	1.17240265023048	0.859537317425184	Fenland	0.99753443345862
AVS (Chen)	Tenascin  (Fenland)	Wald ratio	1	0.022896051310259	0.0150903525749884	0.1292	1.02316017785935	1.05387425712012	0.993341228789363	Fenland	0.729680743582208
AVS (Chen)	FGFR-3  (Fenland)	Wald ratio	1	-0.0826519755596147	0.138825890270108	0.5516	0.920671507656491	1.20858078876011	0.701348253168968	Fenland	0.947620512820513
AVS (Chen)	DJB14  (Fenland)	Wald ratio	1	-0.197482868627098	0.15736420367584	0.2095	0.820794201838828	1.11734012297055	0.602952590641012	Fenland	0.802979569093611
AVS (Chen)	C43BP  (Fenland)	Wald ratio	1	-0.0108216360576923	0.14353149633199	0.9399	0.989236707199638	1.31061972353786	0.746661480287814	Fenland	0.996933464374753
AVS (Chen)	C4a  (Fenland)	Wald ratio	1	-0.110090623745542	0.0762139585035732	0.1486	0.895752955130285	1.04007074504498	0.771460365025396	Fenland	0.757151787439614
AVS (Chen)	Renin  (Fenland)	Wald ratio	1	0.0274657419437501	0.0885762637445566	0.7565	1.02784640248423	1.22271673975191	0.864033502407207	Fenland	0.987182264760148
AVS (Chen)	CLC1B  (Fenland)	Wald ratio	1	0.00106962568271147	0.0820590049217698	0.9896	1.00107019793628	1.17574886362214	0.852343193519126	Fenland	0.99753443345862
AVS (Chen)	MTDC  (Fenland)	Wald ratio	1	0.217139903702634	0.110243621158617	0.04888	1.24251792283639	1.54221146284014	1.00106297078516	Fenland	0.669795577625092
AVS (Chen)	LRIG1  (Fenland)	Inverse variance weighted	2	-0.0122420887225169	0.0209492243410376	0.558971711181325	0.987832540794807	1.02923765866458	0.948093106036582	Fenland	0.950703670022735
AVS (Chen)	K2013  (Fenland)	Wald ratio	1	0.156851458828723	0.109842132859855	0.1533	1.16982183428907	1.45083904272475	0.943235661351765	Fenland	0.761188354186718
AVS (Chen)	SMAP1  (Fenland)	Wald ratio	1	-0.0147314245338818	0.0345465450382382	0.6698	0.985376552034033	1.05440834980026	0.920864245320529	Fenland	0.977502008569898
AVS (Chen)	Peroxiredoxin-3  (Fenland)	Wald ratio	1	-0.140472116427347	0.131905288582768	0.2869	0.868947893966712	1.1253141590875	0.670986351972553	Fenland	0.850679954699887
AVS (Chen)	EFS  (Fenland)	Wald ratio	1	-0.0382394196565753	0.158963286285711	0.8099	0.962482476079515	1.31433209159915	0.704823782878978	Fenland	0.987182264760148
AVS (Chen)	SCUB1  (Fenland)	Wald ratio	1	-0.0424949455154057	0.098826831846257	0.6672	0.958395309703033	1.16323584701021	0.789626258528388	Fenland	0.977502008569898
AVS (Chen)	Prothrombin  (Fenland)	Wald ratio	1	-0.0483963769581769	0.139101885290066	0.7279	0.952756061672017	1.25137546482689	0.72539708390267	Fenland	0.979967667014614
AVS (Chen)	S100A16  (Fenland)	Wald ratio	1	0.0136441540906401	0.0787223847171185	0.8624	1.01373766034835	1.18286566986175	0.868791841873858	Fenland	0.988817859516951
AVS (Chen)	HCDH  (Fenland)	Wald ratio	1	0.199023257582284	0.155851421715323	0.2016	1.22021034471236	1.65614405869376	0.89902401758298	Fenland	0.791490957446808
AVS (Chen)	MAPK2  (Fenland)	Wald ratio	1	0.0661779381236335	0.0479791080352188	0.1678	1.06841681233575	1.17376553859542	0.97252342767506	Fenland	0.774062654575433
AVS (Chen)	VWA1  (Fenland)	Wald ratio	1	-0.0931099627892373	0.0470413916393366	0.04778	0.911093308426103	0.999091577689466	0.830845775497897	Fenland	0.666208162162162
AVS (Chen)	UBP15  (Fenland)	Wald ratio	1	-0.101878452860084	0.0784382348785544	0.194	0.90313931899896	1.05322879368291	0.774438217426357	Fenland	0.784135731039875
AVS (Chen)	ERBB1  (Fenland)	Wald ratio	1	0.0332353850743249	0.127153841243062	0.7938	1.03379385024657	1.3263846251392	0.805746466410875	Fenland	0.987182264760148
AVS (Chen)	OCTC  (Fenland)	Wald ratio	1	-0.0226350307211987	0.0289252489253004	0.4339	0.977619219652038	1.03464508738657	0.923736409986904	Fenland	0.917179009819967
AVS (Chen)	Carbonic anhydrase 6  (Fenland)	Wald ratio	1	-0.0103390785876372	0.0230887833226601	0.6543	0.989714185958555	1.03553161934195	0.945923959820823	Fenland	0.977502008569898
AVS (Chen)	CD46  (Fenland)	Wald ratio	1	-0.0252446046065053	0.0354105309109758	0.4759	0.975071375905787	1.04514960304516	0.909691957343378	Fenland	0.926345104633782
AVS (Chen)	LECT2  (Fenland)	Wald ratio	1	-0.019230408758217	0.0205720504963313	0.3499	0.980953315966884	1.02131479324206	0.942186889364245	Fenland	0.886072573635925
AVS (Chen)	FAIM1  (Fenland)	Wald ratio	1	-0.0144494526685383	0.0286080320100799	0.6135	0.985654439674883	1.04250064153426	0.93190798714619	Fenland	0.969804107088531
AVS (Chen)	LIRA3  (Fenland)	Wald ratio	1	0.00210971302278357	0.0138235416035923	0.8787	1.00211194003315	1.02963446877008	0.975325099165113	Fenland	0.989746324617021
AVS (Chen)	UPP1  (Fenland)	Wald ratio	1	-0.125681406482032	0.0968514285471159	0.1944	0.881895768306457	1.06624954540074	0.729416626259406	Fenland	0.784135731039875
AVS (Chen)	GSH0  (Fenland)	Wald ratio	1	-0.0547488068029477	0.135739460137856	0.6867	0.946722928446932	1.23528354530412	0.725569693415187	Fenland	0.977502008569898
AVS (Chen)	PDC6I  (Fenland)	Wald ratio	1	-0.0049628022288884	0.111505249396602	0.9645	0.995049492127532	1.23811181170856	0.799704422831502	Fenland	0.99753443345862
AVS (Chen)	ADH4  (Fenland)	Wald ratio	1	-0.00190495240635281	0.161691165236819	0.9906	0.998096860863902	1.37027264564256	0.727006663115013	Fenland	0.99753443345862
AVS (Chen)	Luteinizing hormone  (Fenland)	Wald ratio	1	-0.0258423553395432	0.0458013859069103	0.5726	0.974488700440767	1.06601602774427	0.890819840013277	Fenland	0.953698934796643
AVS (Chen)	CBL  (Fenland)	Wald ratio	1	0.0439231350256025	0.0690321511760816	0.5246	1.04490203543341	1.19629125643795	0.912670938433382	Fenland	0.945786675967911
AVS (Chen)	DDX58  (Fenland)	Wald ratio	1	0.0494774803773908	0.0434574052500114	0.2549	1.05072193008706	1.14414083702448	0.964930661191195	Fenland	0.835855646687697
AVS (Chen)	FLII  (Fenland)	Wald ratio	1	-0.0980165680458869	0.0999371074005265	0.3267	0.906633882477717	1.10280856028844	0.745356017767603	Fenland	0.874647275557862
AVS (Chen)	AP1G2  (Fenland)	Wald ratio	1	0.135142288947607	0.078979108871312	0.08706	1.14469965087264	1.33634909860918	0.980535170092666	Fenland	0.703144330708499
AVS (Chen)	PNKP  (Fenland)	Wald ratio	1	-0.276985432497275	0.162161094292809	0.08762	0.758065540151896	1.04169616478888	0.551661206588247	Fenland	0.703144330708499
AVS (Chen)	LIRA6  (Fenland)	Wald ratio	1	0.0513978254133208	0.0202566176062111	0.01117	1.05274161735719	1.09537940947119	1.01176350708551	Fenland	0.484252352941176
AVS (Chen)	WFKN2  (Fenland)	Wald ratio	1	0.0550238619164327	0.0286679603166754	0.0549400000000001	1.05656582606014	1.11763300900072	0.998835338441079	Fenland	0.675631666968659
AVS (Chen)	Peroxiredoxin-1  (Fenland)	Wald ratio	1	-0.0112002968761234	0.071429035463787	0.8754	0.988862192929883	1.13746330574041	0.859674709215856	Fenland	0.989174819672131
AVS (Chen)	EPHB2  (Fenland)	Wald ratio	1	-0.0388020041908682	0.0441339703505572	0.3793	0.961941150608891	1.04885655725613	0.88222814724587	Fenland	0.887631310894597
AVS (Chen)	DEAD-box protein 19B  (Fenland)	Wald ratio	1	-0.105304019433134	0.117759719422883	0.3712	0.900050848038571	1.13372087228289	0.71454230830533	Fenland	0.887631310894597
AVS (Chen)	BID  (Fenland)	Wald ratio	1	0.371871626641259	0.169649993522933	0.02838	1.45044677061755	2.02260364363683	1.04014241298016	Fenland	0.626903073770492
AVS (Chen)	FCRL4  (Fenland)	Wald ratio	1	0.0147994100435801	0.017909159426455	0.4086	1.01490946355117	1.05116740675761	0.979902166471235	Fenland	0.89728417694598
AVS (Chen)	CRTAM  (Fenland)	Wald ratio	1	0.0537476355141646	0.0579769929847428	0.3539	1.05521826893409	1.18220642214886	0.941870703991189	Fenland	0.886072573635925
AVS (Chen)	Chondrocalcin  (Fenland)	Wald ratio	1	-0.0244221617635183	0.016627829354582	0.1419	0.97587364624583	1.0082018360398	0.944582066203988	Fenland	0.751725126135217
AVS (Chen)	MYO6  (Fenland)	Wald ratio	1	-0.327062128516388	0.136078757375362	0.01624	0.721038944555107	0.941437078667672	0.552237819548073	Fenland	0.575561904761905
AVS (Chen)	Catalase  (Fenland)	Wald ratio	1	0.0873027861527238	0.0574945233905973	0.1289	1.0912270381384	1.22139305048754	0.974933047383059	Fenland	0.729680743582208
AVS (Chen)	CD7  (Fenland)	Wald ratio	1	0.0331492922853564	0.0544965241667935	0.543	1.0337048518819	1.15023064099397	0.928983877425484	Fenland	0.946089827077148
AVS (Chen)	kallikrein 14  (Fenland)	Inverse variance weighted	2	0.0514633103587272	0.0580915590003566	0.375671432462469	1.0528105583418	1.17977384815002	0.939510630358564	Fenland	0.887631310894597
AVS (Chen)	IL-23  (Fenland)	Wald ratio	1	-0.0258713576948936	0.036429915061548	0.4776	0.974460438383027	1.04658373687266	0.907307377822535	Fenland	0.926345104633782
AVS (Chen)	S100A12  (Fenland)	Wald ratio	1	-0.0509503608033902	0.0590713339943338	0.3884	0.950325842772974	1.06697704001382	0.846427967588196	Fenland	0.887631310894597
AVS (Chen)	KITM  (Fenland)	Wald ratio	1	0.227909655300584	0.113690244202938	0.045	1.25597184990721	1.56947714297052	1.00508968532903	Fenland	0.652120786516854
AVS (Chen)	SIRB1  (Fenland)	Inverse variance weighted	2	0.0189066655294034	0.019903543137487	0.342155665245415	1.01908652827686	1.05962768947201	0.980096464478839	Fenland	0.88123645157045
AVS (Chen)	SWP70  (Fenland)	Wald ratio	1	-0.102897804690549	0.035301664735495	0.003559	0.90221917133775	0.966855194586284	0.841904183467396	Fenland	0.326736666666668
AVS (Chen)	Hexosaminidase B  (Fenland)	Wald ratio	1	0.0562299284807467	0.0504567762583767	0.2651	1.05784088352348	1.16780417265012	0.958232005897281	Fenland	0.841347972972973
AVS (Chen)	NFASC  (Fenland)	Wald ratio	1	-0.0177446636790823	0.0353011899728915	0.6152	0.982411845762375	1.05279198514714	0.916736685224049	Fenland	0.969804107088531
AVS (Chen)	GSHB  (Fenland)	Wald ratio	1	-0.00290558138752459	0.0619644179549089	0.9626	0.997098635728695	1.12585717380459	0.883065554409822	Fenland	0.99753443345862
AVS (Chen)	Attractin  (Fenland)	Wald ratio	1	-0.0544404962748179	0.0475052817361189	0.2518	0.947014858093173	1.03942726624743	0.862818564195475	Fenland	0.835855646687697
AVS (Chen)	GSTT2  (Fenland)	Wald ratio	1	-0.026054641481936	0.0243795059354372	0.2852	0.974281851950056	1.02196698826732	0.928821711402425	Fenland	0.849927419354839
AVS (Chen)	FCG2A  (Fenland)	Wald ratio	1	-0.0115659757009858	0.0115085084477349	0.3149	0.988500653072985	1.01105132048976	0.966452959729465	Fenland	0.865662711864407
AVS (Chen)	Semaphorin 3E  (Fenland)	Inverse variance weighted	2	-0.0312702895162533	0.0329077876240812	0.341990419990149	0.969213569402378	1.03378722277322	0.908673392764276	Fenland	0.88123645157045
AVS (Chen)	MMP-10  (Fenland)	Wald ratio	1	-0.0758330070975161	0.0483257253497551	0.1166	0.926970991211394	1.01906487195888	0.843199723777846	Fenland	0.729680743582208
AVS (Chen)	PTN9  (Fenland)	Wald ratio	1	0.0890775973853292	0.102387955924865	0.3843	1.09316547981821	1.33610409967596	0.894399445788696	Fenland	0.887631310894597
AVS (Chen)	dopa decarboxylase  (Fenland)	Wald ratio	1	-0.214494526717811	0.117411233015364	0.06772	0.806949228380653	1.01575430080289	0.641067487156516	Fenland	0.676867339384097
AVS (Chen)	LG3BP  (Fenland)	Inverse variance weighted	2	-0.0743927161550719	0.0742227163778044	0.316203357288689	0.928307061067634	1.07367120427554	0.802623741976478	Fenland	0.865662711864407
AVS (Chen)	LARGE  (Fenland)	Wald ratio	1	0.192493047558242	0.132504767898783	0.1463	1.21226807545496	1.57177003107362	0.934992942805656	Fenland	0.756274248496994
AVS (Chen)	Endocan  (Fenland)	Wald ratio	1	-0.0170280967218944	0.109125161330681	0.876	0.983116061908276	1.21757018299819	0.793808196585472	Fenland	0.989174819672131
AVS (Chen)	LIF sR  (Fenland)	Wald ratio	1	0.00540378443214009	0.143208412674818	0.9699	1.00541841121002	1.33121528517905	0.759355900472638	Fenland	0.99753443345862
AVS (Chen)	UBCP1  (Fenland)	Wald ratio	1	-0.14992743685563	0.095072470385647	0.1148	0.860770434368257	1.0370857384036	0.714430555976049	Fenland	0.729680743582208
AVS (Chen)	RNAS4  (Fenland)	Wald ratio	1	0.0324303508182758	0.0389200024673726	0.4047	1.03296194568419	1.11484296413705	0.957094779763527	Fenland	0.895491235570757
AVS (Chen)	annexin IV  (Fenland)	Wald ratio	1	0.0443390576081064	0.0453669952076168	0.3284	1.04533672417861	1.14254515755233	0.956398843138442	Fenland	0.875682375929529
AVS (Chen)	CRBB1  (Fenland)	Wald ratio	1	-0.0998838910606642	0.054694907300936	0.06782	0.904942483848261	1.00734497018244	0.812949806981365	Fenland	0.676867339384097
AVS (Chen)	NDE1  (Fenland)	Wald ratio	1	-0.0214575521771018	0.131622518030254	0.8705	0.978771023286431	1.26683616446367	0.756208847598492	Fenland	0.989054
AVS (Chen)	REG3G  (Fenland)	Wald ratio	1	-0.0390573094190672	0.0341321084665481	0.2525	0.96169559335128	1.02823282327552	0.899464005948635	Fenland	0.835855646687697
AVS (Chen)	TECK  (Fenland)	Wald ratio	1	-0.00951450628788126	0.0228032230845296	0.6765	0.990530613416447	1.0358059413142	0.947234281037536	Fenland	0.977502008569898
AVS (Chen)	LIRA5  (Fenland)	Wald ratio	1	-0.00594193557726754	0.0399624997084073	0.8818	0.994075682808891	1.07506869713688	0.919184481683539	Fenland	0.990896580265737
AVS (Chen)	AIF1  (Fenland)	Wald ratio	1	-0.0150222387758712	0.0491968714880145	0.7601	0.985090032163028	1.08480866881967	0.894537810545714	Fenland	0.987182264760148
AVS (Chen)	alpha-1-antichymotrypsin complex  (Fenland)	Wald ratio	1	0.00775245918286039	0.034958634890066	0.8245	1.00778258729989	1.07925542660561	0.941042980399118	Fenland	0.987182264760148
AVS (Chen)	DKK1  (Fenland)	Wald ratio	1	-0.0504108806567494	0.0869787666640475	0.5622	0.950838663013721	1.12757296244603	0.8018054646508	Fenland	0.950703670022735
AVS (Chen)	Pancreatic alpha-amylase  (Fenland)	Wald ratio	1	0.0779905300321472	0.0354395857308819	0.02776	1.08111242052174	1.15887779418967	1.00856541704955	Fenland	0.626903073770492
AVS (Chen)	ISK2  (Fenland)	Wald ratio	1	-0.0456650307305149	0.0698222496688863	0.5131	0.955361925485061	1.09547337810375	0.833170779783275	Fenland	0.940683333333333
AVS (Chen)	Noggin  (Fenland)	Wald ratio	1	-0.0212461459743103	0.0466792480420759	0.649	0.97897796342531	1.07277117125055	0.893385167831408	Fenland	0.977502008569898
AVS (Chen)	Met  (Fenland)	Wald ratio	1	0.166009906788796	0.121150491553651	0.1706	1.18058479746959	1.49700264190263	0.931047431048528	Fenland	0.774062654575433
AVS (Chen)	AMGO2  (Fenland)	Wald ratio	1	0.202109300231495	0.159392914013019	0.2048	1.2239817822926	1.67283436395523	0.895564698851596	Fenland	0.796901804049694
AVS (Chen)	CLN5  (Fenland)	Wald ratio	1	-0.120962140455654	0.0591663639156415	0.0409100000000001	0.886067505069865	0.995016392404364	0.789047928791984	Fenland	0.6426765625
AVS (Chen)	NCAM2  (Fenland)	Wald ratio	1	-0.0144014854797999	0.0785882605985645	0.8546	0.985701719881362	1.14985000713849	0.844986628295122	Fenland	0.988817859516951
AVS (Chen)	Protein S  (Fenland)	Wald ratio	1	0.245785381142724	0.118931111188717	0.03877	1.27862512702845	1.61428213446522	1.01276114042488	Fenland	0.638507879746837
AVS (Chen)	CACO2  (Fenland)	Wald ratio	1	-0.190745709350013	0.124928156420818	0.1268	0.826342692656683	1.05560438242513	0.646873257705073	Fenland	0.729680743582208
AVS (Chen)	BR serine/threonine kinase 2  (Fenland)	Wald ratio	1	-0.0281368427436986	0.0623513162212693	0.6518	0.972255311613219	1.09863855617936	0.860410719834411	Fenland	0.977502008569898
AVS (Chen)	Sorcin  (Fenland)	Wald ratio	1	0.190362677794111	0.0860609545698165	0.0269699999999999	1.20968824517291	1.43195715550525	1.02191999591858	Fenland	0.626903073770492
AVS (Chen)	FPRP  (Fenland)	Wald ratio	1	-0.0403145126912477	0.0262158786092967	0.1241	0.960487306194908	1.01113009307675	0.912380980131238	Fenland	0.729680743582208
