ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0032944,regulation of mononuclear cell proliferation,27/202,93/1417,9.89880963651177e-05,0.0192936798733466,0.0166906244780227,CD274/CD74/CSF1/EPO/HAVCR2/IL15/IL2RA/IL6/LEP/LGALS9/LILRB1/LILRB4/MAD1L1/MZB1/PLA2G2A/ST6GAL1/TFRC/TGFBR2/TNFRSF13B/TNFRSF14/TNFRSF1B/TNFRSF4/TNFRSF9/TNFSF13B/VCAM1/VSIG4/XCL1,27
GO:0002696,positive regulation of leukocyte activation,30/202,109/1417,0.000118203202991905,0.0211189722678871,0.0182696529536611,CCL21/CCL3/CD27/CD274/CD4/CD5/CD74/EPO/HAVCR1/HAVCR2/IL15/IL2RA/IL6/LEP/LGALS1/LGALS9/LILRB1/LILRB4/TFRC/TGFB1/TGFBR2/THY1/TNF/TNFRSF14/TNFRSF4/TNFSF13/TNFSF13B/TREM2/VCAM1/XCL1,30
GO:0000165,MAPK cascade,42/202,174/1417,0.000134001256002217,0.0220998994514426,0.0191182358765917,ACE2/ACTA2/AMBP/CCL14/CCL20/CCL21/CCL3/CCL7/CD27/CD4/CD74/CDH2/CHI3L1/CXCL17/EDA2R/EFNA1/EPHA2/EPO/FGF23/FGFR2/GDF15/GPR37/HAVCR2/HGF/ICAM1/IGFBP4/IL6/LEP/LGALS9/LILRA5/LILRB4/LTBR/NRP1/PLA2G2A/REN/SEMA7A/TGFA/TGFB1/TNF/TNFRSF11A/TREM2/XCL1,42
GO:0070663,regulation of leukocyte proliferation,28/202,101/1417,0.000178770961718999,0.0235935719631327,0.0204103858007854,BST2/CD274/CD74/CSF1/EPO/HAVCR2/IL15/IL2RA/IL6/LEP/LGALS9/LILRB1/LILRB4/MAD1L1/MZB1/PLA2G2A/ST6GAL1/TFRC/TGFBR2/TNFRSF13B/TNFRSF14/TNFRSF1B/TNFRSF4/TNFRSF9/TNFSF13B/VCAM1/VSIG4/XCL1,28
GO:0002367,cytokine production involved in immune response,13/202,32/1417,0.000197307753847789,0.0235935719631327,0.0204103858007854,BST2/CD74/IL18R1/IL6/LILRB1/LILRB4/SEMA7A/SPON2/TGFB1/TNF/TNFRSF14/TNFRSF1B/XCL1,13
GO:0002718,regulation of cytokine production involved in immune response,13/202,32/1417,0.000197307753847789,0.0235935719631327,0.0204103858007854,BST2/CD74/IL18R1/IL6/LILRB1/LILRB4/SEMA7A/SPON2/TGFB1/TNF/TNFRSF14/TNFRSF1B/XCL1,13
GO:0002761,regulation of myeloid leukocyte differentiation,13/202,32/1417,0.000197307753847789,0.0235935719631327,0.0204103858007854,CCL3/CD4/CD74/CSF1/FSTL3/LILRB1/LILRB4/SFRP1/TGFB1/TNF/TNFRSF11A/TNFRSF11B/TREM2,13
GO:0141124,intracellular signaling cassette,63/202,301/1417,0.000220723405019754,0.0235935719631327,0.0204103858007854,ACE2/ACTA2/ACVRL1/ADGRG1/ADM/AMBP/BST2/CCL14/CCL20/CCL21/CCL3/CCL7/CCN3/CD27/CD4/CD74/CDH2/CHI3L1/COL6A3/CSF1/CXCL17/DCN/EDA2R/EFNA1/EPHA2/EPO/FGF23/FGFR2/GDF15/GPR37/HAVCR2/HGF/ICAM1/IGFBP4/IL18R1/IL6/LEP/LGALS1/LGALS9/LILRA5/LILRB4/LTBR/NOS1/NPPB/NRP1/PIK3IP1/PLA2G2A/REN/SEMA7A/SPINK1/TFRC/TGFA/TGFB1/TGFBR2/TNF/TNFRSF10A/TNFRSF10B/TNFRSF11A/TNFRSF1A/TNNI3/TREM2/VCAM1/XCL1,63
GO:0002521,leukocyte differentiation,34/202,134/1417,0.0002358208317813,0.0235935719631327,0.0204103858007854,CCL3/CCN4/CD27/CD4/CD74/CD79B/CSF1/CTSL/DLL1/EPHA2/FSTL3/IL15/IL18R1/IL2RA/IL6/LAG3/LEP/LGALS1/LGALS9/LILRB1/LILRB4/LTBR/OSCAR/SFRP1/TFRC/TGFB1/TGFBR2/TNF/TNFRSF11A/TNFRSF11B/TNFRSF9/TNFSF13B/TREM2/VCAM1,34
GO:0002440,production of molecular mediator of immune response,18/202,54/1417,0.00023877902114872,0.0235935719631327,0.0204103858007854,BST2/CD74/IL18R1/IL6/LGALS4/LILRB1/LILRB4/MZB1/SEMA7A/SPON2/TFRC/TGFB1/TNF/TNFRSF14/TNFRSF1B/TNFRSF4/TNFSF13/XCL1,18
GO:0010647,positive regulation of cell communication,67/202,327/1417,0.000255339681161951,0.0235935719631327,0.0204103858007854,ACTA2/ACVRL1/ADGRG1/BAIAP2/BST2/CALB2/CCL14/CCL20/CCL21/CCL3/CCL7/CCN3/CCN4/CD27/CD4/CD74/CDH2/CHI3L1/CSF1/CTSD/CTSL/CTSS/CXCL17/DCN/DLL1/EDA2R/EFNA1/EPO/FGF23/FGFR2/GDF15/GPR37/HAVCR2/HGF/ICAM1/IGFBP4/IL10RB/IL18R1/IL6/ITGA5/LEP/LGALS1/LGALS9/LILRA5/LTBR/LY96/MAD1L1/MMP12/NOS1/NRP1/PLA2G2A/PLAUR/SEMA7A/SFRP1/SMOC2/SPINK1/TFRC/TGFA/TGFB1/TGFBR2/TNF/TNFRSF10B/TNFRSF11A/TNFRSF12A/TNFRSF1A/TREM2/XCL1,67
GO:0051249,regulation of lymphocyte activation,35/202,140/1417,0.000259217922630758,0.0235935719631327,0.0204103858007854,CCL21/CD27/CD274/CD4/CD5/CD74/EPO/HAVCR2/IL15/IL2RA/IL6/LAG3/LEP/LGALS1/LGALS9/LILRB1/LILRB4/MAD1L1/MZB1/PLA2G2A/SFRP1/TFRC/TGFB1/TGFBR2/THY1/TNFRSF13B/TNFRSF14/TNFRSF1B/TNFRSF4/TNFRSF9/TNFSF13/TNFSF13B/VCAM1/VSIG4/XCL1,35
GO:0002694,regulation of leukocyte activation,39/202,162/1417,0.00026140646583215,0.0235935719631327,0.0204103858007854,CCL21/CCL3/CD27/CD274/CD4/CD5/CD74/EPO/HAVCR1/HAVCR2/IL15/IL2RA/IL6/LAG3/LEP/LGALS1/LGALS9/LILRB1/LILRB4/MAD1L1/MZB1/PLA2G2A/SFRP1/TFRC/TGFB1/TGFBR2/THY1/TNF/TNFRSF13B/TNFRSF14/TNFRSF1B/TNFRSF4/TNFRSF9/TNFSF13/TNFSF13B/TREM2/VCAM1/VSIG4/XCL1,39
GO:0002682,regulation of immune system process,67/202,328/1417,0.000282601202888602,0.0235935719631327,0.0204103858007854,AMBP/BST2/BTN3A2/CCL20/CCL21/CCL3/CCL7/CCN3/CD27/CD274/CD4/CD5/CD74/CD79B/COLEC12/CSF1/CTSS/CXCL17/DLL1/EPO/FCER2/FSTL3/GGT1/HAVCR1/HAVCR2/ICAM1/IL15/IL18R1/IL2RA/IL6/LAG3/LEP/LGALS1/LGALS9/LILRB1/LILRB4/LY96/MAD1L1/MMP12/MZB1/NBL1/PGF/PIGR/PLA2G2A/RARRES2/SEMA7A/SFRP1/SPON2/TFRC/TGFB1/TGFBR2/THY1/TNF/TNFRSF11A/TNFRSF11B/TNFRSF13B/TNFRSF14/TNFRSF1B/TNFRSF4/TNFRSF9/TNFSF13/TNFSF13B/TREM2/ULBP2/VCAM1/VSIG4/XCL1,67
GO:0023056,positive regulation of signaling,67/202,328/1417,0.000282601202888602,0.0235935719631327,0.0204103858007854,ACTA2/ACVRL1/ADGRG1/BAIAP2/BST2/CALB2/CCL14/CCL20/CCL21/CCL3/CCL7/CCN3/CCN4/CD27/CD4/CD74/CDH2/CHI3L1/CSF1/CTSD/CTSL/CTSS/CXCL17/DCN/DLL1/EDA2R/EFNA1/EPO/FGF23/FGFR2/GDF15/GPR37/HAVCR2/HGF/ICAM1/IGFBP4/IL10RB/IL18R1/IL6/ITGA5/LEP/LGALS1/LGALS9/LILRA5/LTBR/LY96/MAD1L1/MMP12/NOS1/NRP1/PLA2G2A/PLAUR/SEMA7A/SFRP1/SMOC2/SPINK1/TFRC/TGFA/TGFB1/TGFBR2/TNF/TNFRSF10B/TNFRSF11A/TNFRSF12A/TNFRSF1A/TREM2/XCL1,67
GO:0022612,gland morphogenesis,12/202,29/1417,0.000286116077911124,0.0235935719631327,0.0204103858007854,AREG/CSF1/EPHA2/FGFR2/HGF/IL6/NRP1/SFRP1/TGFA/TGFB1/TGFBR2/TNF,12
GO:0006954,inflammatory response,51/202,232/1417,0.000308194307618634,0.0244729109457167,0.0211710865506446,ACE2/ADM/CCL14/CCL20/CCL21/CCL3/CCL7/CCN3/CCN4/CHI3L1/CSF1/CXCL17/EPHA2/EPO/FABP4/FOLR2/GGT1/GGT5/HAVCR2/HGF/HSPG2/HYAL1/IL10RB/IL15/IL17C/IL18R1/IL1RN/IL2RA/IL6/LEP/LGALS1/LGALS9/LILRA5/LILRB4/LY96/MVK/PLA2G2A/RARRES2/SEMA7A/SIGLEC10/TFRC/TGFB1/TIMP1/TNF/TNFRSF11A/TNFRSF1A/TNFRSF1B/TNFRSF4/TREM2/VCAM1/XCL1,51
GO:0070372,regulation of ERK1 and ERK2 cascade,25/202,89/1417,0.000328348169529368,0.0248212924068936,0.0214724652498755,ACE2/ACTA2/CCL14/CCL20/CCL21/CCL3/CCL7/CD4/CD74/CHI3L1/CXCL17/EPHA2/EPO/FGF23/FGFR2/HAVCR2/ICAM1/LGALS9/NRP1/PLA2G2A/SEMA7A/TGFB1/TNF/TREM2/XCL1,25
GO:0022603,regulation of anatomical structure morphogenesis,39/202,164/1417,0.000346107861545917,0.0248212924068936,0.0214724652498755,ACVRL1/ADM/ANGPT2/ANGPTL4/BAIAP2/CCL3/CCL7/CDH2/CHI3L1/CSF1/CST3/DCN/DLL1/EFNA1/EGLN1/EPHA2/FGFR2/HGF/HSPB6/HSPG2/HYAL1/IL6/ITGA5/LEP/NPPB/NRP1/PGF/PLXNB2/SEMA7A/SFRP1/SMOC2/TFRC/TGFB1/TGFBR2/THBS2/THY1/TNF/TNFRSF11B/TNFSF13B,39
GO:0002700,regulation of production of molecular mediator of immune response,17/202,51/1417,0.000358857797386013,0.0248212924068936,0.0214724652498755,BST2/CD74/IL18R1/IL6/LILRB1/LILRB4/MZB1/SEMA7A/SPON2/TFRC/TGFB1/TNF/TNFRSF14/TNFRSF1B/TNFRSF4/TNFSF13/XCL1,17
GO:0045785,positive regulation of cell adhesion,34/202,137/1417,0.000375233563901468,0.0248212924068936,0.0214724652498755,ADGRG1/CCDC80/CCL21/CD27/CD274/CD4/CD5/CD74/CSF1/EPO/FSTL3/HAVCR2/HYAL1/IL15/IL2RA/IL6/ITGA5/LEP/LGALS1/LGALS9/LILRB1/LILRB4/NRP1/PLAUR/SFRP1/TFRC/TGFBR2/THY1/TNF/TNFRSF14/TNFSF13B/VCAM1/VWC2/XCL1,34
GO:0002824,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,13/202,34/1417,0.000404062901024276,0.0248212924068936,0.0214724652498755,CD274/CD4/FCER2/IL18R1/IL6/TFRC/TGFB1/TNF/TNFSF13/TNFSF13B/TREM2/ULBP2/XCL1,13
GO:0050863,regulation of T cell activation,29/202,111/1417,0.000422516916419479,0.0248212924068936,0.0214724652498755,CCL21/CD27/CD274/CD4/CD5/CD74/EPO/HAVCR2/IL15/IL2RA/IL6/LAG3/LEP/LGALS1/LGALS9/LILRB1/LILRB4/MAD1L1/PLA2G2A/TFRC/TGFBR2/THY1/TNFRSF14/TNFRSF1B/TNFRSF9/TNFSF13B/VCAM1/VSIG4/XCL1,29
GO:1902533,positive regulation of intracellular signal transduction,49/202,223/1417,0.000425755425763155,0.0248212924068936,0.0214724652498755,ACTA2/ACVRL1/ADGRG1/BST2/CCL14/CCL20/CCL21/CCL3/CCL7/CD27/CD4/CD74/CDH2/CHI3L1/CSF1/CXCL17/DCN/EDA2R/EFNA1/EPO/FGF23/FGFR2/GDF15/GPR37/HAVCR2/HGF/ICAM1/IGFBP4/IL18R1/IL6/LEP/LGALS1/LGALS9/LILRA5/LTBR/MAD1L1/NRP1/PLA2G2A/SEMA7A/TFRC/TGFA/TGFB1/TGFBR2/TNF/TNFRSF10B/TNFRSF11A/TNFRSF1A/TREM2/XCL1,49
GO:0002714,positive regulation of B cell mediated immunity,7/202,12/1417,0.000455291697212025,0.0248212924068936,0.0214724652498755,FCER2/TFRC/TGFB1/TNF/TNFSF13/TREM2/XCL1,7
GO:0002891,positive regulation of immunoglobulin mediated immune response,7/202,12/1417,0.000455291697212025,0.0248212924068936,0.0214724652498755,FCER2/TFRC/TGFB1/TNF/TNFSF13/TREM2/XCL1,7
GO:0051251,positive regulation of lymphocyte activation,26/202,96/1417,0.000469330406072367,0.0248212924068936,0.0214724652498755,CCL21/CD27/CD274/CD4/CD5/CD74/EPO/HAVCR2/IL15/IL2RA/IL6/LEP/LGALS1/LGALS9/LILRB1/LILRB4/TFRC/TGFB1/TGFBR2/THY1/TNFRSF14/TNFRSF4/TNFSF13/TNFSF13B/VCAM1/XCL1,26
GO:0050670,regulation of lymphocyte proliferation,25/202,91/1417,0.000479642422772102,0.0248212924068936,0.0214724652498755,CD274/CD74/EPO/HAVCR2/IL15/IL2RA/IL6/LEP/LGALS9/LILRB1/LILRB4/MAD1L1/MZB1/PLA2G2A/TFRC/TGFBR2/TNFRSF13B/TNFRSF14/TNFRSF1B/TNFRSF4/TNFRSF9/TNFSF13B/VCAM1/VSIG4/XCL1,25
GO:1901342,regulation of vasculature development,25/202,91/1417,0.000479642422772102,0.0248212924068936,0.0214724652498755,ACVRL1/ADM/ANGPT2/ANGPTL4/CHI3L1/DCN/DLL1/EFNA1/EGLN1/EPHA2/HSPB6/HSPG2/HYAL1/IL6/ITGA5/LEP/NPPB/NRP1/PGF/SFRP1/SMOC2/TGFB1/TGFBR2/THBS2/TNF,25
GO:0048584,positive regulation of response to stimulus,82/202,429/1417,0.000484196917888328,0.0248212924068936,0.0214724652498755,ACTA2/ACVRL1/ADGRG1/BAIAP2/BST2/BTN3A2/CCL14/CCL20/CCL21/CCL3/CCL7/CCN3/CCN4/CD27/CD274/CD4/CD74/CD79B/CDH2/CHI3L1/COLEC12/CSF1/CTSD/CTSL/CTSS/CXCL17/DCN/DLL1/EDA2R/EFNA1/EPO/FABP4/FCER2/FGF23/FGFR2/GDF15/GPR37/HAVCR2/HGF/ICAM1/IGFBP4/IL10RB/IL15/IL18R1/IL6/ITGA5/LAG3/LEP/LGALS1/LGALS9/LILRA5/LILRB1/LILRB4/LTBR/LY96/MAD1L1/MMP12/NOS1/NRP1/PGF/PLA2G2A/PLAUR/RARRES2/SEMA7A/SFRP1/SMOC2/TFRC/TGFA/TGFB1/TGFBR2/THY1/TNF/TNFRSF10B/TNFRSF11A/TNFRSF12A/TNFRSF1A/TNFSF13/TNFSF13B/TREM2/ULBP2/VSIG4/XCL1,82
GO:0050870,positive regulation of T cell activation,23/202,81/1417,0.00048808156176646,0.0248212924068936,0.0214724652498755,CCL21/CD27/CD274/CD4/CD5/CD74/EPO/HAVCR2/IL15/IL2RA/IL6/LEP/LGALS1/LGALS9/LILRB1/LILRB4/TFRC/TGFBR2/THY1/TNFRSF14/TNFSF13B/VCAM1/XCL1,23
GO:0002684,positive regulation of immune system process,52/202,242/1417,0.000490922074416321,0.0248212924068936,0.0214724652498755,BTN3A2/CCL20/CCL21/CCL3/CCL7/CD27/CD274/CD4/CD5/CD74/CD79B/COLEC12/CSF1/CTSS/CXCL17/EPO/FCER2/HAVCR1/HAVCR2/ICAM1/IL15/IL18R1/IL2RA/IL6/LAG3/LEP/LGALS1/LGALS9/LILRB1/LILRB4/LY96/MMP12/MZB1/PGF/RARRES2/SEMA7A/SPON2/TFRC/TGFB1/TGFBR2/THY1/TNF/TNFRSF11A/TNFRSF14/TNFRSF4/TNFSF13/TNFSF13B/TREM2/ULBP2/VCAM1/VSIG4/XCL1,52
GO:0050865,regulation of cell activation,41/202,178/1417,0.000497815099578556,0.0248212924068936,0.0214724652498755,ACTA2/CCL21/CCL3/CD27/CD274/CD4/CD5/CD74/EPO/HAVCR1/HAVCR2/IL15/IL2RA/IL6/LAG3/LEP/LGALS1/LGALS9/LILRA5/LILRB1/LILRB4/MAD1L1/MZB1/PLA2G2A/SFRP1/TFRC/TGFB1/TGFBR2/THY1/TNF/TNFRSF13B/TNFRSF14/TNFRSF1B/TNFRSF4/TNFRSF9/TNFSF13/TNFSF13B/TREM2/VCAM1/VSIG4/XCL1,41
GO:0032943,mononuclear cell proliferation,27/202,102/1417,0.000542462549727676,0.0264327206049122,0.0228664835555063,CD274/CD74/CSF1/EPO/HAVCR2/IL15/IL2RA/IL6/LEP/LGALS9/LILRB1/LILRB4/MAD1L1/MZB1/PLA2G2A/ST6GAL1/TFRC/TGFBR2/TNFRSF13B/TNFRSF14/TNFRSF1B/TNFRSF4/TNFRSF9/TNFSF13B/VCAM1/VSIG4/XCL1,27
GO:0070661,leukocyte proliferation,29/202,113/1417,0.000587155346779147,0.0279746902998776,0.0242004145268972,BST2/CD274/CD74/CSF1/EPO/HAVCR2/IL15/IL2RA/IL6/LEP/LGALS9/LILRB1/LILRB4/MAD1L1/MZB1/PLA2G2A/ST6GAL1/TFRC/TGFBR2/TNFRSF13B/TNFRSF14/TNFRSF1B/TNFRSF4/TNFRSF9/TNFSF13B/TREM2/VCAM1/VSIG4/XCL1,29
GO:0022409,positive regulation of cell-cell adhesion,26/202,98/1417,0.000667790649337129,0.0291195462859437,0.0251908093852282,CCL21/CD27/CD274/CD4/CD5/CD74/EPO/FSTL3/HAVCR2/IL15/IL2RA/IL6/LEP/LGALS1/LGALS9/LILRB1/LILRB4/PLAUR/TFRC/TGFBR2/THY1/TNF/TNFRSF14/TNFSF13B/VCAM1/XCL1,26
GO:0070371,ERK1 and ERK2 cascade,25/202,93/1417,0.000689144164575544,0.0291195462859437,0.0251908093852282,ACE2/ACTA2/CCL14/CCL20/CCL21/CCL3/CCL7/CD4/CD74/CHI3L1/CXCL17/EPHA2/EPO/FGF23/FGFR2/HAVCR2/ICAM1/LGALS9/NRP1/PLA2G2A/SEMA7A/TGFB1/TNF/TREM2/XCL1,25
GO:0001649,osteoblast differentiation,14/202,40/1417,0.0006953924023701,0.0291195462859437,0.0251908093852282,AREG/CCL3/CCN4/CLEC5A/CRIM1/EPHA2/FGF23/FGFR2/HGF/IL6/SEMA7A/SFRP1/SMOC1/TNF,14
GO:0045765,regulation of angiogenesis,24/202,88/1417,0.000706197741829939,0.0291195462859437,0.0251908093852282,ACVRL1/ADM/ANGPT2/ANGPTL4/CHI3L1/DCN/DLL1/EFNA1/EGLN1/EPHA2/HSPB6/HSPG2/HYAL1/IL6/ITGA5/LEP/NPPB/NRP1/PGF/SFRP1/SMOC2/TGFBR2/THBS2/TNF,24
GO:0001503,ossification,20/202,68/1417,0.000707459876154282,0.0291195462859437,0.0251908093852282,AREG/CCL3/CCN4/CHRDL1/CLEC5A/CRIM1/CSF1/EPHA2/FGF23/FGFR2/FSTL3/HGF/IL6/LEP/SEMA7A/SFRP1/SMOC1/STC1/TNF/TNFRSF11A,20
GO:0001666,response to hypoxia,20/202,68/1417,0.000707459876154282,0.0291195462859437,0.0251908093852282,ACVRL1/ADM/ANGPT2/ANGPTL4/EGLN1/EPO/FABP1/FGFR2/HSPG2/LEP/NOS1/PGF/SFRP1/STC1/STC2/TFRC/TGFB1/TNF/TREM2/VCAM1,20
GO:0036293,response to decreased oxygen levels,20/202,68/1417,0.000707459876154282,0.0291195462859437,0.0251908093852282,ACVRL1/ADM/ANGPT2/ANGPTL4/EGLN1/EPO/FABP1/FGFR2/HSPG2/LEP/NOS1/PGF/SFRP1/STC1/STC2/TFRC/TGFB1/TNF/TREM2/VCAM1,20
GO:0042129,regulation of T cell proliferation,21/202,73/1417,0.000719839530389465,0.0291195462859437,0.0251908093852282,CD274/EPO/HAVCR2/IL15/IL2RA/IL6/LEP/LGALS9/LILRB1/LILRB4/MAD1L1/PLA2G2A/TFRC/TGFBR2/TNFRSF14/TNFRSF1B/TNFRSF9/TNFSF13B/VCAM1/VSIG4/XCL1,21
GO:0051240,positive regulation of multicellular organismal process,66/202,332/1417,0.000762362039353987,0.0300745708543597,0.0260169844095551,ACE2/ACTA2/ACVRL1/ADM/AGRN/ANGPT2/ANGPTL4/BAIAP2/BTN3A2/CCL21/CCL3/CD27/CD274/CD4/CD5/CD74/CHI3L1/CLEC5A/CSF1/CXCL17/DLL1/EPO/FABP4/FGFR2/HAVCR1/HAVCR2/HGF/HSPB6/HYAL1/IL15/IL18R1/IL2RA/IL6/ITGA5/LCN2/LEP/LGALS1/LGALS9/LILRA5/LILRB1/LILRB4/LY96/MMP12/NPPB/NRP1/PGF/PLXNB2/SEMA7A/SMOC2/SPINK1/SPON2/TFRC/TGFB1/TGFBR2/THBS2/THY1/TNF/TNFRSF11A/TNFRSF14/TNFRSF1B/TNFRSF4/TNFSF13/TNFSF13B/TREM2/VCAM1/XCL1,66
GO:0002821,positive regulation of adaptive immune response,13/202,36/1417,0.000771502517252698,0.0300745708543597,0.0260169844095551,CD274/CD4/FCER2/IL18R1/IL6/TFRC/TGFB1/TNF/TNFSF13/TNFSF13B/TREM2/ULBP2/XCL1,13
GO:0009966,regulation of signal transduction,85/202,455/1417,0.000833121654372367,0.0302978389473601,0.0262101297256719,ACE2/ACTA2/ACVRL1/ADGRG1/ADM/AMBP/BAIAP2/BST2/CCL14/CCL20/CCL21/CCL3/CCL7/CCN3/CCN4/CD27/CD4/CD74/CDH2/CHI3L1/CHRDL1/CRIM1/CSF1/CTSD/CTSL/CTSS/CXCL17/DCN/DLL1/EDA2R/EFNA1/EPHA2/EPO/FGF23/FGFR2/FSTL3/GDF15/GPR37/HAVCR2/HGF/ICAM1/IGFBP4/IGFBP7/IGFBPL1/IL10RB/IL18R1/IL1RN/IL6/ITGA5/LEP/LGALS1/LGALS9/LILRA5/LILRB4/LTBR/LY96/MAD1L1/MMP12/MZB1/NBL1/NOS1/NRP1/PCSK9/PIK3IP1/PLA2G2A/PLAUR/REN/SEMA7A/SFRP1/SMOC2/SPINK1/TFRC/TGFA/TGFB1/TGFBR2/THY1/TIMP1/TNF/TNFRSF10B/TNFRSF11A/TNFRSF12A/TNFRSF1A/TREM2/VWC2/XCL1,85
